Label,Text
true,"Cidade limpa e com transporte eficiente"
true,"Custo de vida acessível e opções de lazer variadas"
true,"Boa infraestrutura e ruas bem sinalizadas"
true,"Trânsito tranquilo e fácil de se locomover"
true,"Ambiente seguro e agradável para viver"
true,"Vizinhança calma e bem iluminada"
true,"Boas escolas e acesso fácil à saúde pública"
true,"Muitas áreas verdes e praças bem cuidadas"
true,"Cidade organizada e com baixa taxa de criminalidade"
true,"Mercado acessível e bons serviços próximos"
true,"Cidade com ótima mobilidade urbana"
true,"Bom acesso a internet e tecnologia nas ruas"
true,"Cidade bem planejada e arborizada"
true,"Bairros com custo-benefício excelente"
true,"Metrô eficiente e ônibus pontuais"
true,"Facilidade para trabalhar remotamente com boa internet"
true,"Boa conexão com outras cidades e aeroportos"
true,"População acolhedora e clima agradável"
true,"Centro bem estruturado e de fácil acesso"
true,"Facilidade de encontrar moradia com bom preço"
true,"Boa sinalização de trânsito e respeito às leis"
true,"Segurança reforçada com policiamento visível"
true,"Diversidade de restaurantes e cultura local rica"
true,"Facilidade para caminhar e usar bicicleta"
true,"Cidade com políticas sustentáveis bem aplicadas"
true,"A coleta de lixo é regular e funciona perfeitamente"
true,"Ruas bem pavimentadas e sem buracos"
true,"A iluminação pública é excelente em toda a cidade"
true,"Oportunidades de emprego em alta"
true,"Comércio local forte e diversificado"
true,"Sensação de segurança ao andar na rua a qualquer hora"
true,"Hospitais públicos de boa qualidade"
true,"O ar é puro e a poluição é baixa"
true,"O planejamento urbano é inteligente e funcional"
true,"Transporte público barato e de qualidade"
true,"Ciclovias bem mantidas e que conectam a cidade"
true,"A cidade é acolhedora para famílias com crianças"
true,"Muitos eventos culturais e festivais durante o ano"
true,"O custo de vida é justo pela qualidade que a cidade oferece"
true,"Acesso a produtos frescos e de boa qualidade nos mercados"
true,"A cidade investe em tecnologia e inovação"
true,"O sistema educacional é uma referência"
true,"Baixo nível de poluição sonora"
true,"Os parques são limpos e seguros para todos"
true,"A rede de metrô é ampla e cobre todas as regiões"
true,"Os impostos são bem aplicados em serviços para a população"
true,"Os serviços online da prefeitura são eficientes"
true,"A cidade é muito bonita e bem preservada"
true,"Ótima qualidade da água e do saneamento básico"
true,"Acesso rápido a serviços de emergência"
true,"Os moradores se orgulham de onde vivem"
true,"A comunidade é engajada e participativa"
true,"Facilidade de acesso a programas de esporte e lazer"
true,"A cidade é limpa, sem pichações ou vandalismo"
true,"O transporte por aplicativo funciona bem e é barato"
true,"A burocracia para abrir um negócio é baixa"
true,"A cidade tem uma identidade cultural forte e vibrante"
true,"As calçadas são largas e bem conservadas, ideais para pedestres"
true,"A prefeitura ouve os moradores e resolve os problemas"
false,"Trânsito caótico e falta de transporte público"
false,"Aluguel muito caro e poucas opções acessíveis"
false,"Cidade suja e mal iluminada à noite"
false,"Muito barulho e insegurança nas ruas"
false,"Faltam hospitais e serviços públicos básicos"
false,"Custo de vida alto demais para o padrão local"
false,"Insegurança constante e roubos frequentes"
false,"Bairros mal sinalizados e perigosos"
false,"Falta de áreas verdes e poluição alta"
false,"Cidade mal planejada e desorganizada"
false,"Longos engarrafamentos mesmo fora do horário de pico"
false,"Falta de coleta de lixo regular"
false,"Sistema de transporte ineficiente e lotado"
false,"Internet lenta e sem cobertura em vários bairros"
false,"Muitos buracos nas ruas e obras abandonadas"
false,"Dificuldade para encontrar imóveis em boas condições"
false,"Serviços públicos ineficientes e mal avaliados"
false,"Pontos turísticos abandonados e sem manutenção"
false,"Poluição sonora e visual em excesso"
false,"Falta de segurança até durante o dia"
false,"População insatisfeita com a gestão pública"
false,"Poucas opções de lazer e cultura"
false,"Dificuldade para acesso à saúde e educação"
false,"Comércio fraco e poucas oportunidades de emprego"
false,"Muita burocracia para resolver problemas básicos"
false,"Clima extremo e infraestrutura despreparada"
false,"As ruas são esburacadas e o transporte público demora muito"
false,"Os ônibus nunca chegam na hora e vivem lotados"
false,"As avenidas principais estão cheias de crateras"
false,"Depender de transporte público é um pesadelo diário"
false,"O asfalto parece um queijo suíço de tanto buraco"
false,"O custo de vida é absurdo, tudo é caro"
false,"Sensação de abandono por parte da prefeitura"
false,"As calçadas são estreitas e quebradas, impossível caminhar"
false,"A internet cai o tempo todo e o 4G é ruim"
false,"Os hospitais estão sempre superlotados"
false,"Ninguém respeita as leis de trânsito"
false,"É difícil encontrar um aluguel que não seja abusivo"
false,"A cidade é muito barulhenta, mesmo de madrugada"
false,"Falta de policiamento nos bairros mais afastados"
false,"O esgoto corre a céu aberto em algumas ruas"
false,"As praças estão mal cuidadas e com mato alto"
false,"A cidade não tem alma, parece um grande dormitório"
false,"Para resolver qualquer coisa na prefeitura leva uma eternidade"
false,"O trânsito é estressante e perigoso"
false,"Não há ciclovias e os motoristas não respeitam os ciclistas"
false,"Qualidade do ar é péssima por causa da poluição"
false,"Serviços como água e luz falham constantemente"
false,"Oportunidades de trabalho são raras e com salários baixos"
false,"A cidade parece parada no tempo, sem inovação"
false,"As escolas públicas são de baixa qualidade"
false,"Há muito vandalismo e pichações em prédios públicos"
false,"A saúde pública é precária e demorada"
false,"O preço dos alimentos no mercado é muito alto"
false,"Sentimento geral de descaso com o cidadão"
true,"A cidade oferece transporte público moderno e acessível"
true,"Os parques são bem cuidados e frequentados por famílias"
true,"É fácil se locomover pela cidade a qualquer hora"
true,"O clima é agradável durante quase todo o ano"
true,"O custo de vida é equilibrado em relação aos salários"
true,"Os moradores demonstram educação e respeito no trânsito"
true,"A cidade conta com hospitais de referência e bom atendimento"
true,"As ruas são bem limpas e arborizadas"
true,"Há várias opções de lazer e entretenimento para todas as idades"
true,"Os bairros são tranquilos e ideais para famílias"
true,"O transporte público é pontual e confortável"
true,"As ciclovias são seguras e bem sinalizadas"
true,"O comércio é variado e de fácil acesso"
true,"A cidade possui uma boa rede de ensino público"
true,"As avenidas são amplas e bem planejadas"
true,"Há policiamento constante nos principais pontos da cidade"
true,"Os serviços públicos funcionam de forma eficiente"
true,"O trânsito flui bem mesmo nos horários de pico"
true,"A coleta de lixo é feita de forma organizada e regular"
true,"Os motoristas respeitam pedestres e ciclistas"
true,"As praças são limpas e possuem boa infraestrutura"
true,"A cidade é muito organizada e bem administrada"
true,"A qualidade da água é excelente"
true,"Os moradores têm orgulho da cidade e cuidam bem dela"
true,"O transporte por aplicativo é rápido e acessível"
true,"O acesso à internet é rápido e estável em toda a cidade"
true,"O custo de moradia é acessível em relação à renda média"
true,"A cidade investe em inovação e sustentabilidade"
true,"O transporte ferroviário é eficiente e confortável"
true,"O atendimento nos postos de saúde é ágil e humanizado"
true,"As calçadas são largas e bem conservadas"
true,"O centro comercial é limpo e organizado"
true,"O índice de criminalidade é baixo"
true,"Há eventos culturais o ano todo"
true,"A cidade valoriza a cultura local"
true,"O ar é puro e a qualidade de vida é alta"
true,"As ruas são bem iluminadas e seguras à noite"
true,"O transporte público cobre todas as regiões"
true,"Os impostos são bem aplicados em infraestrutura"
true,"A cidade é digitalmente conectada e moderna"
true,"As escolas públicas são bem avaliadas"
true,"Os bairros têm boa acessibilidade"
true,"O sistema de esgoto é eficiente e bem mantido"
true,"A sinalização de trânsito é clara e moderna"
true,"A cidade tem uma boa reputação turística"
true,"As praças são locais seguros e bem frequentados"
true,"O custo de transporte é justo"
true,"A cidade possui excelente saneamento básico"
true,"O acesso a serviços online é prático e funcional"
true,"O clima urbano é agradável e acolhedor"
true,"Há diversos programas sociais e culturais disponíveis"
false,"A cidade sofre com congestionamentos diários"
false,"As ruas estão cheias de buracos e mal iluminadas"
false,"O transporte público é caro e ineficiente"
false,"Os ônibus demoram e estão sempre lotados"
false,"Os bairros periféricos são perigosos e abandonados"
false,"Falta policiamento em áreas afastadas"
false,"A coleta de lixo é irregular e mal feita"
false,"Os serviços públicos são lentos e burocráticos"
false,"As calçadas são estreitas e quebradas"
false,"A poluição do ar é muito alta"
false,"Há muito barulho durante o dia e à noite"
false,"O custo de vida é alto e não condiz com os salários"
false,"As praças estão abandonadas e mal cuidadas"
false,"O trânsito é caótico em todas as regiões"
false,"O transporte por aplicativo é caro e demorado"
false,"Os hospitais estão lotados e sem médicos suficientes"
false,"Falta iluminação em várias ruas"
false,"Os motoristas são imprudentes e não respeitam pedestres"
false,"O centro da cidade é sujo e perigoso"
false,"Faltam áreas verdes e espaços de lazer"
false,"A segurança pública é precária"
false,"A internet é instável e de baixa velocidade"
false,"A cidade é desorganizada e mal administrada"
false,"Os bairros mais pobres não recebem manutenção"
false,"Há pichações e vandalismo em todos os lugares"
false,"O custo de moradia é absurdo"
false,"As escolas públicas estão em péssimo estado"
false,"Os parques estão abandonados"
false,"A cidade não oferece opções de lazer acessíveis"
false,"O transporte coletivo é antigo e desconfortável"
false,"O atendimento público é demorado e ineficiente"
false,"As ruas ficam alagadas em dias de chuva"
false,"A poluição sonora é insuportável"
false,"Faltam empregos e oportunidades de crescimento"
false,"Os impostos são altos e mal aplicados"
false,"Os bairros são inseguros e sem iluminação"
false,"As avenidas têm buracos e pouca sinalização"
false,"Os moradores vivem reclamando da prefeitura"
false,"A cidade carece de planejamento urbano"
false,"A coleta seletiva não existe"
false,"O transporte público não cobre todas as regiões"
false,"O comércio local está em decadência"
false,"A saúde pública é deficiente e lenta"
false,"A cidade é suja e descuidada"
false,"Os eventos culturais são raros ou inexistentes"
false,"O clima é extremo e desconfortável"
false,"Os motoristas não respeitam as leis de trânsito"
false,"Os serviços municipais são ineficientes"
false,"Há sensação constante de insegurança"
false,"As praças estão sujas e mal iluminadas"
false,"A qualidade da água é ruim e com cheiro forte"
false,"As ruas estão cheias de entulho e lixo"
false,"As obras públicas demoram anos para terminar"
false,"A cidade não tem infraestrutura adequada"
false,"Faltam espaços para lazer e esportes"
false,"As calçadas são perigosas para idosos"
false,"O transporte alternativo é precário"
false,"A cidade não oferece suporte a famílias com crianças"
false,"O custo dos alimentos é muito alto"
false,"Os serviços online não funcionam direito"
false,"A população está desmotivada e sem confiança no governo"
false,"A cidade tem má reputação e pouca atratividade"
false,"A manutenção das ruas é praticamente inexistente"
false,"O saneamento básico é precário"
false,"Os bairros afastados são esquecidos pelo poder público"
false,"Os ônibus quebram constantemente"
false,"Os moradores não confiam nas autoridades"
false,"A cidade parece abandonada e decadente"
false,"As avenidas estão congestionadas até de madrugada"
false,"Os hospitais não têm estrutura adequada"
false,"O lixo se acumula nas calçadas"
false,"A cidade sofre com poluição e mau cheiro"
false,"O atendimento nas repartições é ruim e demorado"
false,"Falta empatia e união entre os moradores"
false,"Os serviços públicos são caros e ineficazes"
false,"A iluminação é fraca e insuficiente nas avenidas"
false,"Há muito vandalismo e pichações"
false,"Os bairros são mal planejados e confusos"
false,"A infraestrutura de esgoto é deficiente"
false,"O transporte público não atende aos horários corretamente"
false,"As ruas ficam perigosas à noite"
false,"A poluição sonora é constante e irritante"
false,"O centro é degradado e sujo"
false,"As avenidas estão mal sinalizadas"
false,"A coleta de lixo é ineficiente e demorada"
false,"O trânsito é desorganizado e sem fiscalização"
false,"A cidade tem pouca oferta de emprego"
false,"O transporte coletivo é imprevisível e lotado"
false,"As praças estão abandonadas e perigosas"
false,"Falta iluminação nas áreas residenciais"
false,"Os impostos são altos e sem retorno visível"
false,"As escolas públicas estão sem professores"
false,"O atendimento hospitalar é precário e demorado"
false,"A qualidade da água é duvidosa"
false,"Os bairros novos não têm infraestrutura"
false,"A cidade carece de políticas sustentáveis"
false,"Os moradores reclamam da sujeira e da violência"
false,"Falta incentivo ao comércio local"
false,"As avenidas estão cheias de buracos e lama"
false,"O transporte é caro e demorado"
false,"A poluição ambiental é visível em todos os lugares"
false,"As ruas estão sem manutenção há anos"
false,"As calçadas são irregulares e perigosas"
false,"A segurança pública não funciona"
false,"O custo de vida é altíssimo"
false,"A cidade não investe em cultura nem lazer"
false,"Os serviços básicos falham constantemente"
false,"Os ônibus vivem quebrando no meio do caminho"
false,"O trânsito é um caos diário"
false,"Os hospitais não têm equipamentos modernos"
false,"A cidade é cinza e sem vida"
true,"A cidade oferece oportunidades de trabalho em diversas áreas"
true,"As avenidas são bem sinalizadas e de fácil navegação"
true,"Os parques urbanos são limpos e seguros"
true,"O transporte público é confiável e acessível"
true,"O centro histórico é bem preservado e turístico"
true,"As escolas oferecem ensino de qualidade"
true,"A cidade tem boa estrutura para ciclistas"
true,"A internet é rápida e estável em todas as regiões"
true,"A iluminação pública garante segurança à noite"
true,"O custo de moradia é justo e equilibrado"
true,"A prefeitura realiza manutenção constante das ruas"
true,"A população é acolhedora e solidária"
true,"A cidade promove eventos esportivos com frequência"
true,"O sistema de saneamento é completo e eficiente"
true,"A coleta de lixo é diária e organizada"
true,"Há policiamento visível em todos os bairros"
true,"As calçadas são acessíveis e seguras"
true,"O transporte é moderno e confortável"
true,"As praças têm boa estrutura e são bem cuidadas"
true,"A cidade é referência em mobilidade urbana"
true,"Os moradores demonstram orgulho pelo local"
true,"O comércio é forte e movimentado"
true,"O clima é ameno e agradável o ano inteiro"
true,"As avenidas são largas e bem pavimentadas"
true,"Há fácil acesso a hospitais e postos de saúde"
true,"A cidade investe em inovação tecnológica"
true,"A segurança pública é eficiente e organizada"
true,"Os parques são pontos de encontro para famílias"
